GO_slim	Fold Enrichment	p-value	FDR
GO:0043226	0.7703140214331152	0.9999997479466942	0.9999999990773675
GO:0005634	0.8114160800266577	0.9991706113988446	0.9999999990773675
GO:0023052	1.2474708576935847	0.0011258117439892459	0.008706277486850168
GO:0005576	1.7435723735141222	2.2942941693358934e-11	4.435635394049394e-10
GO:0048856	1.3143607959652046	0.0006465410360217501	0.006249896681543584
GO:0005886	0.9675860798003605	0.666844212659393	0.9999999990773675
GO:0003824	0.6280425516585382	0.9999999990773675	0.9999999990773675
GO:0006351	1.3253609569202895	0.000897698450449394	0.007758478069803644
GO:0006355	1.3729000637040931	0.00025741425174099445	0.002714550291086851
GO:0005615	1.9215342353040723	5.700731579464289e-12	1.322569726435715e-10
GO:0005654	0.991611494937389	0.5504198863849133	0.9999999990773675
GO:0005829	0.7916280689116993	0.9962856867618591	0.9999999990773675
GO:0098772	1.634933612121592	3.844750851114986e-06	4.9554566525482044e-05
GO:0003677	1.3066167956176369	0.006369211740581876	0.03694142809537488
GO:0030154	1.0539134297021207	0.3210973584779099	0.8277176351875011
GO:0002376	1.2787631534765875	0.013058848443213068	0.0685147212553246
GO:0140110	1.8365757744870281	1.379940049446723e-07	2.2867577962259978e-06
GO:0036211	0.8228895064875266	0.9712497989045755	0.9999999990773675
GO:0006457	12.02310098293447	6.713992436485309e-59	7.788231226322959e-57
GO:0012501	1.4837641951910954	0.0009363680429073364	0.007758478069803644
GO:0055085	1.3267449404762774	0.01358481542131436	0.0685147212553246
GO:0031410	0.9564400036697553	0.6546591463107594	0.9999999990773675
GO:0016740	0.6728081338636823	0.9995853876508789	0.9999999990773675
GO:0005856	0.8404994610797734	0.9230096323342717	0.9999999990773675
GO:0016787	0.6205147066989743	0.9999695155198176	0.9999999990773675
GO:0006629	1.4608616586088792	0.0047151399511792666	0.030386457463155273
GO:0005739	1.1032606704602672	0.25569537881770044	0.6741059987012102
GO:0007155	1.3368107314051993	0.024517001224892702	0.10938354392644437
GO:0065003	0.8851021864365349	0.82758417099506	0.9999999990773675
GO:0048870	1.465448959222459	0.005887669212888048	0.035945769931316505
GO:0005215	1.1174490167138567	0.23240813287916073	0.6269614747437824
GO:0140096	0.5488586616635397	0.9999989833161719	0.9999999990773675
GO:0003012	5.046324422358008	6.700213901790165e-19	2.590749375358864e-17
GO:0005783	0.8184425762325449	0.9293428085796644	0.9999999990773675
GO:0005694	0.961917418923437	0.6245908198263017	0.9999999990773675
GO:0003013	3.673912049432666	4.603776949119336e-13	1.3350953152446074e-11
GO:0005730	1.046774260923089	0.4026241091769705	0.953150952337318
GO:0008289	1.679320264595978	0.0014620012919473564	0.010599509366618333
GO:0060089	0.9245535807405529	0.709583624261107	0.9999999990773675
GO:0044183	17.7845031132664	1.6146496733681115e-33	9.364968105535047e-32
GO:0022414	1.3199178964872167	0.061310433339321034	0.22829586794687096
GO:0003723	0.5561662625294126	0.9999642598475934	0.9999999990773675
GO:0140657	1.417693479276906	0.028356443191408287	0.1174766932215486
GO:0006886	1.3277238108477782	0.06297817046810233	0.22829586794687096
GO:0005794	0.7081140931410032	0.9862536793976514	0.9999999990773675
GO:0098542	1.1988933403368907	0.16863289044581758	0.48903538229287097
GO:0048018	2.775744008771472	4.5078298908589217e-07	6.536353341745436e-06
GO:1901135	0.9432167060611266	0.6506915097062433	0.9999999990773675
GO:0016192	0.6324057608289974	0.9961707437118188	0.9999999990773675
GO:0006954	1.50264696561706	0.02634919706834987	0.11320395777513277
GO:0007010	0.6433843675922442	0.9933084719789178	0.9999999990773675
GO:0005768	0.7713378891906544	0.9174733236420181	0.9999999990773675
GO:0050877	0.7833124233430393	0.8956691377076604	0.9999999990773675
GO:0005929	1.2140152716845058	0.2113335481103411	0.5836831328761802
GO:0016491	0.7821549106549293	0.8923412604500781	0.9999999990773675
GO:0008092	0.5774693904009593	0.9970833814253954	0.9999999990773675
GO:0005764	0.8851281249756037	0.7312959717740272	0.9999999990773675
GO:0005773	0.7942365104291833	0.8674048482996948	0.9999999990773675
GO:0005198	0.7642179878924358	0.9024458061823429	0.9999999990773675
GO:0007005	1.378986630305961	0.11430745338466328	0.35836931331407945
GO:0007018	1.5594415933890162	0.05370710481547849	0.20766747195318347
GO:0060090	1.0317257708466852	0.48467198230485364	0.9999999990773675
GO:0006914	1.135168265182638	0.34167099158870823	0.8616051092236989
GO:0030312	1.41433886997825	0.11203907969113722	0.35836931331407945
GO:0031012	1.4153835642510992	0.11154105839130699	0.35836931331407945
GO:0030163	0.5816686487933175	0.9928307114155445	0.9999999990773675
GO:0051604	1.826990026730528	0.021880572911514507	0.10152585830942731
GO:0000278	0.6530681112804018	0.9678615440625051	0.9999999990773675
GO:0042060	1.4857349328973866	0.090218834039655	0.30780543378235237
GO:0016853	1.9369953421330095	0.0170304482777621	0.08231383334251682
GO:0006913	1.4514779346336066	0.12291579894348063	0.3752166494064146
GO:0005815	0.5185614094736163	0.9968471484031534	0.9999999990773675
GO:0034330	0.7159859322017142	0.9055805166063728	0.9999999990773675
GO:0006520	1.1317028731057945	0.37500121814323695	0.9255349213747976
GO:0006310	1.4091452074218314	0.15462420026787838	0.45990787771984337
GO:0005635	0.7218142779926819	0.8918836911134895	0.9999999990773675
GO:0061024	0.5745956037683635	0.9826048178903751	0.9999999990773675
GO:0006325	0.46116275256140216	0.9987561068935913	0.9999999990773675
GO:0030198	1.6509431011825797	0.08959141468281472	0.30780543378235237
GO:0140104	3.4093103940577447	0.0017866250062434814	0.012191088277896698
GO:0140014	0.9921355132598905	0.5565016705921458	0.9999999990773675
GO:0016071	0.22225050641978542	0.9999999947051695	0.9999999990773675
GO:0006091	0.5828929641471114	0.962722179880243	0.9999999990773675
GO:0003924	0.631412580711898	0.9352923937821983	0.9999999990773675
GO:0001618	2.8975040779548253	0.012596029297300054	0.0685147212553246
GO:0005975	0.41535893469852464	0.9976426314971346	0.9999999990773675
GO:0006486	0.9143443417900567	0.6430294752012495	0.9999999990773675
GO:0016829	0.7887250266310137	0.769766564461178	0.9999999990773675
GO:0055086	0.23830123946135118	0.999991777091803	0.9999999990773675
GO:0140098	0.3275109935273556	0.9992709751952683	0.9999999990773675
GO:0031386	16.67254571317136	2.257360477611458e-05	0.0002618538154029291
GO:0007059	0.4002602156368074	0.9894165636513054	0.9999999990773675
GO:0003014	1.7386666906018502	0.2031877827069725	0.5748727510733856
GO:0031047	0.4564122527623766	0.9746078680983583	0.9999999990773675
GO:0007163	0.7493303571428571	0.7790783921495564	0.9999999990773675
GO:0032200	0.7423629628304014	0.7850905484481058	0.9999999990773675
GO:0140013	0.9632302952520237	0.596506763397253	0.9999999990773675
GO:0006766	1.2850973020787262	0.4150056733013074	0.9628131620590332
GO:0009975	4.044331582425992	0.04124237810497247	0.16496951241988989
GO:0044782	0.2725223976660387	0.9987597676176903	0.9999999990773675
GO:0006260	0.2532351609269518	0.9966219202417368	0.9999999990773675
GO:0016073	1.453835090483873	0.4021608575494414	0.953150952337318
GO:0006281	0.08668379931284656	0.9999999973952238	0.9999999990773675
GO:0016209	0.9789786653414977	0.6065992633893155	0.9999999990773675
GO:0098754	0.6930869628488069	0.7831910532576092	0.9999999990773675
GO:0022600	1.1156379272284023	0.5365482286686599	0.9999999990773675
GO:0006790	0.23716242445540467	0.9978971881668866	0.9999999990773675
GO:0000228	0.3423742703850009	0.9799000528361601	0.9999999990773675
GO:0050886	1.2827471137781643	0.463809594827517	0.9999999990773675
GO:0045182	0.15337971901782244	0.9984935535031287	0.9999999990773675
GO:0042254	0.13862550527626863	0.9992445514399343	0.9999999990773675
GO:0005777	0.24114316598995666	0.9840310062698755	0.9999999990773675
GO:0072659	0.15143804983702303	0.9986137496849654	0.9999999990773675
GO:0140053	0.3205174599426957	0.9556198310862251	0.9999999990773675
GO:0005840	0.08559532569295698	0.9999911145523482	0.9999999990773675
GO:0042393	0.15845862219908022	0.9981454816406314	0.9999999990773675
