GENEID	HN-score(HN5)
Os03g0178200	-11
Os03g0178300	12
Os03g0178400	-15
Os03g0178500	2
Os03g0178550	4
Os03g0178600	10
Os03g0179000	14
Os03g0179100	-13
Os03g0179200	7
Os03g0179400	3
Os03g0179700	-4
Os03g0179750	1
Os03g0179900	-3
Os03g0179950	5
Os03g0180000	3
Os03g0180100	8
Os03g0180300	3
Os03g0180400	0
Os03g0180500	13
Os03g0180600	3
Os03g0180700	9
Os03g0180800	-70
Os03g0180900	19
Os03g0181100	4
Os03g0181400	1
Os03g0181500	-4
Os03g0181550	-18
Os03g0181600	16
Os03g0181675	0
Os03g0181750	-1
Os03g0181800	2
Os03g0182000	-16
Os03g0182350	10
Os03g0182400	2
Os03g0182600	-4
Os03g0182700	0
Os03g0182800	14
Os03g0182900	-4
Os03g0183000	14
Os03g0183050	11
Os03g0183100	-1
Os03g0183200	-31
Os03g0183300	-2
Os03g0183500	51
Os03g0183600	10
Os03g0183800	9
Os03g0183850	-2
Os03g0183900	1
Os03g0183950	0
Os03g0184000	-4
Os03g0184050	-5
Os03g0184100	23
Os03g0184201	3
Os03g0184300	-12
Os03g0184400	8
Os03g0184500	3
Os03g0184550	8
Os03g0184600	-1
Os03g0184700	7
Os03g0185000	-2
Os03g0185200	2
Os03g0185300	-1
Os03g0185400	-1
Os03g0185500	11
Os03g0185600	3
Os03g0185700	-12
Os03g0185800	-23
Os03g0185950	-6
Os03g0186100	-2
Os03g0186500	1
Os03g0186600	-2
Os03g0186800	5
Os03g0186900	-31
Os03g0186950	-5
Os03g0187000	-1
Os03g0187100	8
Os03g0187200	10
Os03g0187300	14
Os03g0187350	15
Os03g0187400	-9
Os03g0187500	-10
Os03g0187525	0
Os03g0187550	16
Os03g0187600	5
Os03g0187700	-1
Os03g0187800	-9
Os03g0188100	18
Os03g0188200	-17
Os03g0188400	0
Os03g0188500	13
Os03g0188900	-6
Os03g0189100	6
Os03g0189300	-3
Os03g0189400	-21
Os03g0189600	-13
Os03g0190000	4
Os03g0190100	10
Os03g0190300	-27
Os03g0190301	0
Os03g0190400	-1
Os03g0190500	0
Os03g0190800	6
Os03g0190900	2
Os03g0191000	1
Os03g0191050	-12
Os03g0191100	2
Os03g0191200	4
Os03g0191400	-6
Os03g0191700	6
Os03g0191800	2
Os03g0191850	3
Os03g0191900	9
Os03g0192000	1
Os03g0192100	6
Os03g0192300	-6
Os03g0192400	2
Os03g0192500	-9
Os03g0192550	6
Os03g0192600	0
Os03g0192633	-2
Os03g0192700	35
Os03g0192750	36
Os03g0192800	7
Os03g0192900	4
Os03g0193000	5
Os03g0193075	-2
Os03g0193225	0
Os03g0193300	7
Os03g0193400	-7
Os03g0193450	0
Os03g0193600	-6
Os03g0193700	11
Os03g0193901	-1
Os03g0194100	5
Os03g0194300	-2
Os03g0194350	6
Os03g0194400	0
Os03g0194450	-1
Os03g0194500	-2
Os03g0194600	-41
Os03g0194900	-3
Os03g0195100	-4
Os03g0195200	-2
Os03g0195300	-10
Os03g0195350	-11
Os03g0195400	11
Os03g0195450	-14
Os03g0195475	-12
Os03g0195500	-10
Os03g0195800	2
Os03g0195900	-12
Os03g0196000	-11
Os03g0196100	4
Os03g0196250	-14
Os03g0196400	-24
Os03g0196450	3
Os03g0196500	-7
Os03g0196600	-24
Os03g0196800	2
Os03g0196900	8
Os03g0197000	3
Os03g0197050	-5
Os03g0197100	1
Os03g0197125	-9
Os03g0197175	-15
Os03g0197200	-42
Os03g0197300	-11
Os03g0197400	4
Os03g0197800	-13
Os03g0197825	-20
Os03g0197850	-3
Os03g0197875	0
Os03g0197900	4
Os03g0198200	-5
Os03g0198300	-1
Os03g0198400	4
Os03g0198433	-1
Os03g0198500	-3
Os03g0198600	14
Os03g0198900	4
Os03g0199000	-6
Os03g0199050	-1
Os03g0199100	1
Os03g0199200	5
Os03g0199300	6
Os03g0199500	-18
Os03g0199800	11
Os03g0200000	-3
Os03g0200100	1
Os03g0200200	5
Os03g0200400	-9
Os03g0200500	-2
Os03g0200600	11
Os03g0200700	1
Os03g0200800	3
Os03g0201000	1
Os03g0201100	7
Os03g0201200	5
Os03g0201400	8
Os03g0201500	-16
Os03g0201600	-3
Os03g0201700	-4
Os03g0201800	6
Os03g0201901	-3
Os03g0202001	1
Os03g0202200	-2
Os03g0202250	-7
Os03g0202300	5
Os03g0202500	7
Os03g0203000	7
Os03g0203100	10
Os03g0203200	-1
Os03g0203700	2
Os03g0203750	1
Os03g0203800	-5
Os03g0204100	-7
Os03g0204300	2
Os03g0204366	-3
Os03g0204432	5
Os03g0204500	-1
Os03g0204600	-5
Os03g0204900	-41
Os03g0205000	6
Os03g0205150	5
Os03g0205300	-2
Os03g0205400	15
Os03g0205500	4
Os03g0205700	3
Os03g0205800	4
Os03g0206100	-1
Os03g0206150	4
Os03g0206201	37
Os03g0206300	4
Os03g0206400	-1
Os03g0206600	6
Os03g0206700	-4
Os03g0206750	-13
Os03g0206800	-2
Os03g0206900	3
Os03g0207200	6
Os03g0207250	-4
Os03g0207300	3
Os03g0207400	7
Os03g0207475	-17
Os03g0207700	-5
Os03g0207800	-2
Os03g0207900	6
Os03g0208500	3
Os03g0208600	3
Os03g0208700	4
Os03g0208750	26
Os03g0208800	7
Os03g0208900	-4
Os03g0209000	-4
Os03g0209400	3
Os03g0209500	-9
Os03g0209600	5
Os03g0209700	-8
Os03g0209800	-3
Os03g0210000	-3
Os03g0210050	-7
Os03g0210100	3
Os03g0210200	-44
Os03g0210350	4
Os03g0210400	10
Os03g0210450	-9
Os03g0210500	2
Os03g0210600	2
Os03g0210700	-1
Os03g0210800	7
Os03g0210883	7
Os03g0210900	-3
Os03g0211100	1
Os03g0211400	7
Os03g0211500	-11
Os03g0211600	6
Os03g0211700	-6
Os03g0211800	9
Os03g0211850	-6
Os03g0211900	0
Os03g0212000	-12
Os03g0212200	3
Os03g0212300	19
Os03g0212400	12
Os03g0212600	-15
Os03g0212700	1
Os03g0212800	8
Os03g0212950	5
Os03g0213100	27
Os03g0213150	19
Os03g0213200	-8
Os03g0213300	4
Os03g0213400	13
Os03g0213500	-2
Os03g0213600	10
Os03g0213700	10
Os03g0213750	-1
Os03g0213800	-12
Os03g0213900	4
Os03g0214000	-4
Os03g0214050	1
Os03g0214100	-12
Os03g0214200	7
Os03g0214400	5
Os03g0214600	0
Os03g0214900	3
Os03g0215000	-2
Os03g0215200	-26
Os03g0215400	3
Os03g0215600	36
Os03g0215700	3
Os03g0215800	10
Os03g0215900	-10
Os03g0216000	-3
Os03g0216300	10
Os03g0216400	7
Os03g0216500	-3
Os03g0216600	7
Os03g0216700	-21
Os03g0216733	-2
Os03g0216766	8
Os03g0216800	0
Os03g0216900	3
Os03g0217000	3
Os03g0217200	3
Os03g0217400	5
Os03g0217801	8
Os03g0217900	1
Os03g0218100	0
Os03g0218200	14
Os03g0218300	5
Os03g0218400	12
Os03g0218500	162
Os03g0219100	-7
Os03g0219200	-1
Os03g0219300	-1
Os03g0219350	-27
Os03g0219400	1
Os03g0219450	9
Os03g0219500	0
Os03g0219700	-2
Os03g0219800	8
Os03g0219900	-7
Os03g0220100	-8
Os03g0220200	-10
Os03g0220300	5
Os03g0220700	7
Os03g0221100	4
Os03g0221150	-1
Os03g0221200	14
Os03g0221300	12
Os03g0221500	-11
Os03g0221600	1
Os03g0221700	-16
Os03g0221800	6
Os03g0222100	4
Os03g0222401	6
Os03g0222500	11
Os03g0222600	-7
Os03g0222700	4
Os03g0222800	15
Os03g0223000	-9
Os03g0223100	-6
Os03g0223200	-11
Os03g0223301	-39
Os03g0223400	-14
Os03g0223550	-22
Os03g0223700	7
Os03g0223800	0
Os03g0223900	1
Os03g0224200	0
Os03g0224300	1
Os03g0224700	16
Os03g0225100	-7
Os03g0225150	-1
Os03g0225200	8
Os03g0225300	2
Os03g0225500	11
Os03g0225600	5
Os03g0225700	-3
Os03g0225900	-42
Os03g0226200	-3
Os03g0226300	-1
Os03g0226400	-20
Os03g0226501	-18
Os03g0226600	15
Os03g0226700	1
Os03g0226800	3
Os03g0226901	0
Os03g0227000	6
Os03g0227075	-4
Os03g0227300	5
Os03g0227400	-16
Os03g0227500	2
Os03g0227601	2
Os03g0227700	13
Os03g0227750	17
Os03g0227800	13
Os03g0227900	0
Os03g0228200	-13
Os03g0228400	-2
Os03g0228500	-1
Os03g0228800	-6
Os03g0228901	2
Os03g0229000	-1
Os03g0229100	1
Os03g0229500	-6
Os03g0229551	1
Os03g0229575	-5
Os03g0229600	-1
Os03g0229801	-1
Os03g0230000	9
Os03g0230300	92
Os03g0230500	1
Os03g0231000	-11
Os03g0231150	-1
Os03g0231400	10
Os03g0231600	14
Os03g0231650	7
Os03g0231700	6
Os03g0231750	3
Os03g0231800	4
Os03g0231850	-3
Os03g0231900	-2
Os03g0231950	14
Os03g0232000	0
Os03g0232050	-10
Os03g0232101	0
Os03g0232200	3
Os03g0232250	0
Os03g0232400	1
Os03g0232500	-6
Os03g0232600	-4
Os03g0232800	3
Os03g0232900	1
Os03g0233000	34
Os03g0233200	-7
Os03g0233251	-3
Os03g0233300	-1
Os03g0233500	2
Os03g0233700	2
Os03g0233750	11
Os03g0233800	-28
Os03g0233900	-28
Os03g0234000	-5
Os03g0234100	-2
Os03g0234200	2
Os03g0234350	-12
Os03g0234500	-6
Os03g0234600	-2
Os03g0234900	-5
Os03g0235000	-29
Os03g0235100	0
Os03g0235200	1
Os03g0235300	0
Os03g0235400	1
Os03g0235700	-2
Os03g0235900	2
Os03g0236050	9
Os03g0236200	-13
Os03g0236300	-2
Os03g0236675	-4
Os03g0236800	6
Os03g0236900	6
Os03g0236966	4
Os03g0236983	3
Os03g0237000	-5
Os03g0237100	-62
Os03g0237201	-39
Os03g0237250	-18
Os03g0237267	1
Os03g0237401	0
Os03g0237500	29
Os03g0237600	-1
Os03g0237900	1
Os03g0237950	-6
Os03g0238000	-7
Os03g0238300	-3
Os03g0238600	18
Os03g0238700	12
Os03g0238750	16
Os03g0238800	6
Os03g0239000	-4
Os03g0239200	2
Os03g0239300	-5
Os03g0239400	5
Os03g0240166	-5
Os03g0240400	0
Os03g0240500	3
Os03g0240600	10
Os03g0240700	11
Os03g0240800	5
Os03g0240900	-6
Os03g0241001	0
Os03g0241100	9
Os03g0241200	9
Os03g0241300	11
Os03g0241400	14
Os03g0241600	-4
Os03g0241800	7
Os03g0241900	35
Os03g0242100	25
Os03g0242200	1
Os03g0242300	-12
Os03g0242350	2
Os03g0242900	0
Os03g0243100	-7
Os03g0243200	7
Os03g0243250	6
Os03g0243300	2
Os03g0243350	0
Os03g0243600	7
Os03g0243700	30
Os03g0243750	-3
Os03g0243800	5
Os03g0243900	4
Os03g0243950	-7
Os03g0244000	-8
Os03g0244200	39
Os03g0244333	14
Os03g0244466	15
Os03g0244600	-8
Os03g0244650	1
Os03g0244700	-8
Os03g0244750	-5
Os03g0244800	3
Os03g0244950	-17
Os03g0245100	4
Os03g0245200	25
Os03g0245300	-22
Os03g0245500	0
Os03g0245700	-18
Os03g0245800	237
Os03g0245901	25
Os03g0246050	-5
Os03g0246100	10
Os03g0246150	2
Os03g0246500	2
Os03g0246800	0
Os03g0246900	-7
Os03g0247000	0
Os03g0247100	1
Os03g0247200	-12
Os03g0247300	1
Os03g0247400	0
Os03g0247600	0
Os03g0247750	-8
Os03g0247900	-1
Os03g0248000	5
Os03g0248200	-10
Os03g0248225	-5
Os03g0248250	-3
Os03g0248300	-7
Os03g0248400	0
Os03g0248500	9
Os03g0248600	3
Os03g0248766	10
Os03g0249100	-16
Os03g0249200	-5
Os03g0249300	-2
Os03g0249400	-4
Os03g0249500	4
Os03g0249700	-3
Os03g0249900	5
Os03g0250000	-4
Os03g0250200	6
Os03g0250301	2
Os03g0250400	-9
Os03g0251000	-6
Os03g0251350	-2
Os03g0251425	-11
Os03g0251500	5
Os03g0251600	1
Os03g0251700	-1
Os03g0251800	-15
Os03g0251950	-1
Os03g0252100	0
Os03g0252800	4
Os03g0252900	-18
Os03g0253100	7
Os03g0253200	-13
Os03g0253500	-2
Os03g0253600	-18
Os03g0253701	3
Os03g0253800	-4
Os03g0254000	-3
Os03g0254200	44
Os03g0254250	42
Os03g0254400	1
Os03g0254700	6
Os03g0254800	-3
Os03g0254900	-8
Os03g0255000	7
Os03g0255100	15
Os03g0255200	3
Os03g0255400	4
Os03g0255500	-10
Os03g0255900	-5
Os03g0256400	5
Os03g0256800	4
Os03g0257000	-12
Os03g0257500	14
Os03g0257600	-22
Os03g0257700	-8
Os03g0257900	5
Os03g0258000	-4
Os03g0258200	31
Os03g0258500	-4
Os03g0258900	-6
Os03g0259001	-2
Os03g0259100	-23
Os03g0259300	6
Os03g0259400	0
Os03g0259500	-5
Os03g0259551	0
Os03g0259600	-5
Os03g0259700	-2
Os03g0259900	8
Os03g0260000	0
Os03g0260100	10
Os03g0260266	1
Os03g0260432	-6
Os03g0260600	-3
Os03g0261100	-51
Os03g0261500	12
Os03g0261800	-10
Os03g0261900	10
Os03g0261950	7
Os03g0262000	-4
Os03g0262100	-3
Os03g0262150	2
Os03g0262200	1
Os03g0262300	5
Os03g0262400	-2
Os03g0262500	1
Os03g0262700	0
Os03g0262900	12
Os03g0263000	0
Os03g0263300	-11
Os03g0263350	5
Os03g0263400	-8
Os03g0263500	-1
Os03g0263600	8
Os03g0263700	48
Os03g0263800	-1
Os03g0263900	6
Os03g0263950	-3
Os03g0264000	5
Os03g0264075	18
Os03g0264150	3
Os03g0264300	6
Os03g0264400	2
Os03g0264600	5
Os03g0264700	3
Os03g0264800	9
Os03g0264950	0
Os03g0265001	0
Os03g0265100	0
Os03g0265200	0
Os03g0265300	7
Os03g0265400	-4
Os03g0265500	-1
Os03g0265600	54
Os03g0265666	-3
Os03g0265700	5
Os03g0265800	-4
Os03g0265900	-17
Os03g0266000	-5
Os03g0266100	-15
Os03g0266200	11
Os03g0266300	217
Os03g0266700	2
Os03g0266800	7
Os03g0266900	163
Os03g0267000	213
Os03g0267100	77
Os03g0267200	191
Os03g0267300	-14
Os03g0267400	10
Os03g0267500	-4
Os03g0267550	-25
Os03g0267600	-4
Os03g0267700	6
Os03g0267800	1
Os03g0267850	-2
Os03g0268000	-2
Os03g0268050	-1
Os03g0268100	8
Os03g0268200	9
Os03g0268250	1
Os03g0268300	8
Os03g0268400	4
Os03g0268450	3
Os03g0268600	59
Os03g0268750	13
Os03g0268900	5
Os03g0269000	3
Os03g0269100	1
Os03g0269300	11
Os03g0269500	13
Os03g0269601	-14
Os03g0269700	-12
Os03g0269900	8
Os03g0269950	9
Os03g0270000	7
Os03g0270200	6
Os03g0270300	-8
Os03g0270500	1
Os03g0270600	-2
Os03g0270700	18
Os03g0270800	7
Os03g0270900	10
Os03g0271100	-2
Os03g0271200	6
Os03g0271300	6
Os03g0271350	9
Os03g0271400	76
Os03g0271500	-1
Os03g0271600	-4
Os03g0271800	-1
Os03g0271900	-16
Os03g0272300	20
Os03g0272400	-1
Os03g0272650	-7
Os03g0272900	1
Os03g0273200	-38
Os03g0273800	-15
Os03g0274000	-4
Os03g0274300	11
Os03g0274400	-14
Os03g0274700	9
Os03g0274800	-2
Os03g0274950	-4
Os03g0275100	1
Os03g0275300	3
Os03g0275350	9
Os03g0275400	8
Os03g0275450	7
Os03g0275500	4
Os03g0275600	-1
Os03g0275700	6
Os03g0275800	8
Os03g0275900	0
Os03g0275950	2
Os03g0276300	9
Os03g0276500	-14
Os03g0276600	8
Os03g0276700	99
Os03g0276800	6
Os03g0276850	4
Os03g0276900	2
Os03g0277000	6
Os03g0277100	-5
Os03g0277300	236
Os03g0277500	11
Os03g0277600	43
Os03g0277650	3
Os03g0277700	11
Os03g0277800	0
Os03g0278000	-12
Os03g0278066	-19
Os03g0278200	4
Os03g0278250	10
Os03g0278300	-2
Os03g0278333	3
Os03g0278366	0
Os03g0278400	0
Os03g0278500	5
Os03g0278533	1
Os03g0278566	-8
Os03g0278700	4
Os03g0278800	39
Os03g0278900	-5
Os03g0279000	7
Os03g0279200	12
Os03g0279400	6
Os03g0279500	5
Os03g0279600	-4
Os03g0279700	9
Os03g0279801	-2
Os03g0279816	-6
Os03g0279832	-7
Os03g0279900	-1
Os03g0279950	-10
Os03g0280000	6
Os03g0280400	32
Os03g0280700	-4
Os03g0280750	9
Os03g0280800	7
Os03g0280900	-10
Os03g0281000	-1
Os03g0281100	1
Os03g0281201	-5
Os03g0281300	-6
Os03g0281466	2
Os03g0281500	11
Os03g0281600	11
Os03g0281800	6
Os03g0281900	-20
Os03g0282100	-2
Os03g0282166	-3
Os03g0282232	8
Os03g0282300	-1
Os03g0282700	2
Os03g0282800	6
Os03g0282900	2
Os03g0283000	-8
Os03g0283100	7
Os03g0283200	-2
Os03g0283300	-3
Os03g0283400	-7
Os03g0283500	7
Os03g0283600	0
Os03g0283650	-14
Os03g0283750	1
Os03g0283800	8
Os03g0283850	-1
Os03g0283900	5
Os03g0284000	-3
Os03g0284100	2
Os03g0284150	-7
Os03g0284200	-6
Os03g0284400	-9
Os03g0284500	-8
Os03g0284600	-6
Os03g0284650	-6
Os03g0284700	-6
Os03g0284800	-5
Os03g0284900	-1
Os03g0285100	-3
Os03g0285133	-19
Os03g0285166	1
Os03g0285200	26
Os03g0285300	1
Os03g0285700	61
Os03g0285800	3
Os03g0285850	8
Os03g0285900	-5
Os03g0286100	0
Os03g0286200	16
Os03g0286300	-1
Os03g0286500	6
Os03g0286800	8
Os03g0286900	66
Os03g0287100	-5
Os03g0287400	24
Os03g0287500	2
Os03g0287600	-7
Os03g0287700	-2
Os03g0287750	-9
Os03g0287800	-13
Os03g0287900	-2
Os03g0288000	-17
Os03g0288051	-24
Os03g0288101	5
Os03g0288300	-3
Os03g0288400	10
Os03g0288500	1
Os03g0288600	9
Os03g0288700	1
Os03g0288800	1
Os03g0288900	-14
Os03g0289100	1
Os03g0289133	11
Os03g0289200	6
Os03g0289300	0
Os03g0289350	-1
Os03g0289400	-3
Os03g0289800	42
Os03g0289850	17
Os03g0290300	-5
Os03g0290400	19
Os03g0290500	11
Os03g0290900	-16
Os03g0291200	-26
Os03g0291500	22
Os03g0291700	-3
Os03g0291800	-11
Os03g0292100	-4
Os03g0292200	-1
Os03g0292600	0
Os03g0292700	14
Os03g0292800	0
Os03g0292900	40
Os03g0293000	63
Os03g0293100	-13
Os03g0293400	7
Os03g0293450	-8
Os03g0293500	-22
Os03g0293600	1
Os03g0293700	-160
Os03g0293850	3
Os03g0293900	1
Os03g0294001	7
Os03g0294032	9
Os03g0294100	6
Os03g0294200	11
Os03g0294600	0
Os03g0294650	4
Os03g0294700	7
Os03g0294800	-5
Os03g0294900	8
Os03g0294975	0
Os03g0295300	5
Os03g0295400	6
Os03g0295500	1
Os03g0295600	-3
Os03g0295700	3
Os03g0295800	1
Os03g0295866	14
Os03g0295932	4
Os03g0296000	2
Os03g0296100	-2
Os03g0296200	49
Os03g0296300	0
Os03g0296400	-1
Os03g0296500	-3
Os03g0296600	-7
Os03g0296700	16
Os03g0296800	5
Os03g0297000	10
Os03g0297100	0
Os03g0297300	-1
Os03g0297400	-6
Os03g0297600	-5
Os03g0297700	-2
Os03g0297800	-21
Os03g0297850	-12
Os03g0297900	-21
Os03g0298100	-7
Os03g0298300	3
Os03g0298400	-5
Os03g0298501	-4
Os03g0298600	-1
Os03g0298700	-12
Os03g0298800	-3
Os03g0298850	-9
Os03g0298900	2
Os03g0299050	12
Os03g0299200	-3
Os03g0299400	-5
Os03g0299600	16
Os03g0299700	1
Os03g0299800	1
Os03g0299900	-9
Os03g0300000	-7
Os03g0300100	-12
Os03g0300200	6
Os03g0300300	9
Os03g0300400	0
Os03g0300500	7
Os03g0300600	80
Os03g0300700	4
Os03g0300801	-2
Os03g0300900	9
Os03g0301200	14
Os03g0301400	9
Os03g0301500	11
Os03g0301550	-1
Os03g0301600	8
Os03g0301700	3
Os03g0301800	2
Os03g0301900	-1
Os03g0301950	0
Os03g0302000	2
Os03g0302100	5
Os03g0302200	10
Os03g0302500	-11
Os03g0302700	8
Os03g0302800	-1
Os03g0302850	9
Os03g0302900	4
Os03g0303100	-6
Os03g0304100	-15
Os03g0304400	10
Os03g0304500	18
Os03g0304550	1
Os03g0304800	5
Os03g0305000	-1
Os03g0305050	-12
Os03g0305100	15
Os03g0305150	7
Os03g0305200	-8
Os03g0305400	-4
Os03g0305500	5
Os03g0305550	7
Os03g0305600	39
Os03g0305700	5
Os03g0305800	-17
Os03g0305950	-5
Os03g0306100	1
Os03g0306200	8
Os03g0306302	6
Os03g0306400	-2
Os03g0306700	-2
Os03g0306800	10
Os03g0306900	0
Os03g0307000	10
Os03g0307100	3
Os03g0307200	-182
Os03g0307300	-196
Os03g0307333	2
Os03g0307400	-4
Os03g0307500	-15
Os03g0307600	3
Os03g0307700	1
Os03g0307800	8
Os03g0307850	-3
Os03g0307900	5
Os03g0308000	2
Os03g0308100	-2
Os03g0308200	6
Os03g0308500	6
Os03g0308600	-9
Os03g0308700	0
Os03g0308800	-2
Os03g0308850	11
Os03g0308900	13
Os03g0309000	5
Os03g0309200	-2
Os03g0309250	3
Os03g0309300	-1
Os03g0309400	-2
Os03g0309800	-5
Os03g0310000	32
Os03g0310400	6
Os03g0310500	6
Os03g0310600	-19
Os03g0310633	5
Os03g0310666	3
Os03g0310701	-2
Os03g0310800	0
Os03g0310900	7
Os03g0311000	-15
Os03g0311300	-4
Os03g0311401	-4
Os03g0311600	1
Os03g0312100	-4
Os03g0312300	5
Os03g0312350	0
Os03g0312500	2
Os03g0312600	-1
Os03g0313000	6
Os03g0313100	0
Os03g0313300	12
Os03g0313600	1
Os03g0313800	-7
Os03g0314000	7
Os03g0314100	9
Os03g0314200	5
Os03g0314400	0
Os03g0314450	-1
Os03g0314500	-2
Os03g0314700	11
Os03g0314750	-5
Os03g0314800	8
Os03g0315000	10
Os03g0315200	3
Os03g0315400	-11
Os03g0315800	-3
Os03g0316200	35
Os03g0316900	-1
Os03g0317000	11
Os03g0317100	4
Os03g0317300	-13
Os03g0317700	1
Os03g0317900	0
Os03g0318025	3
Os03g0318150	1
Os03g0318400	-1
Os03g0318500	7
Os03g0318550	-3
Os03g0318600	-1
Os03g0319000	-40
Os03g0319050	-33
Os03g0319100	-2
Os03g0319200	0
Os03g0319300	-4
Os03g0319400	-6
Os03g0320000	7
Os03g0320100	2
Os03g0320400	10
Os03g0320600	12
Os03g0320800	0
Os03g0320850	-11
Os03g0320875	0
Os03g0320900	9
Os03g0321000	1
Os03g0321100	3
Os03g0321300	-12
Os03g0321400	9
Os03g0321500	5
Os03g0321700	-2
Os03g0321800	3
Os03g0321900	-3
Os03g0322000	-22
Os03g0322200	16
Os03g0322500	2
Os03g0322600	2
Os03g0322700	-24
Os03g0322800	4
Os03g0322900	-113
Os03g0323100	16
Os03g0323200	-1
Os03g0323350	-2
Os03g0323500	-1
Os03g0323600	-10
Os03g0323800	10
Os03g0323900	-17
Os03g0323950	-2
Os03g0324200	-11
Os03g0324300	-6
Os03g0324600	8
Os03g0324650	1
Os03g0324700	4
Os03g0324800	16
Os03g0324900	7
Os03g0325000	1
Os03g0325133	0
Os03g0325400	-1
Os03g0325500	-3
Os03g0325600	-1
Os03g0325900	1
Os03g0326000	1
Os03g0326100	2
Os03g0326200	3
Os03g0326300	5
Os03g0326350	-1
Os03g0326500	-3
Os03g0326600	4
Os03g0327100	-4
Os03g0327600	31
Os03g0327700	7
Os03g0327751	-3
Os03g0327800	0
Os03g0327900	6
Os03g0328000	7
Os03g0328100	-1
Os03g0328300	16
Os03g0328400	9
Os03g0328450	-6
Os03g0328501	-5
Os03g0328600	-4
Os03g0328900	-2
Os03g0329200	-10
Os03g0329500	28
Os03g0329700	3
Os03g0329900	9
Os03g0330000	6
Os03g0330200	17
Os03g0330300	9
Os03g0331600	3
Os03g0331700	-5
Os03g0331900	4
Os03g0332100	-40
Os03g0332201	-16
Os03g0332400	5
Os03g0332500	25
Os03g0332533	29
Os03g0332566	8
Os03g0332600	10
Os03g0332700	14
Os03g0332900	0
Os03g0333000	5
Os03g0333050	0
Os03g0333100	14
Os03g0333200	-1
Os03g0333300	7
Os03g0333400	0
Os03g0333500	0
Os03g0333601	1
Os03g0333700	2
Os03g0333800	0
Os03g0334000	6
Os03g0334050	9
Os03g0334100	2
Os03g0334200	0
Os03g0334250	13
Os03g0334300	18
Os03g0334700	7
Os03g0334800	4
Os03g0334951	8
Os03g0335100	11
Os03g0335200	-2
Os03g0335300	12
Os03g0335401	5
Os03g0335500	-9
Os03g0335600	1
Os03g0336000	-5
Os03g0336100	5
Os03g0336200	12
Os03g0336300	6
Os03g0336400	-2
Os03g0336500	4
Os03g0336600	1
Os03g0336700	14
Os03g0336900	13
Os03g0337000	-3
Os03g0337200	4
Os03g0337500	-1
Os03g0337550	-6
Os03g0337600	-11
Os03g0337700	8
Os03g0337800	-1
Os03g0337850	-5
Os03g0337900	8
Os03g0338000	-28
Os03g0338100	0
Os03g0338200	7
Os03g0338400	-26
Os03g0338600	7
Os03g0338700	1
Os03g0338800	13
Os03g0339100	11
Os03g0339150	1
Os03g0339300	0
Os03g0339400	-29
Os03g0339700	-12
Os03g0339900	6
Os03g0340001	0
Os03g0340100	2
Os03g0340300	3
Os03g0340500	18
Os03g0340601	8
Os03g0340700	-7
Os03g0340900	9
Os03g0341000	-75
Os03g0341100	5
Os03g0341150	-2
Os03g0341200	20
Os03g0341300	-5
Os03g0341600	19
Os03g0342100	-11
Os03g0342400	1
Os03g0342850	-2
Os03g0342900	1
Os03g0343225	-3
Os03g0343300	10
Os03g0343400	9
Os03g0343500	-4
Os03g0343700	27
Os03g0343800	-29
Os03g0343900	-6
Os03g0344100	0
Os03g0344232	-10
Os03g0344300	-1
Os03g0344400	-4
Os03g0344650	0
Os03g0344700	6
Os03g0344900	2
Os03g0345100	1
Os03g0345200	2
Os03g0345300	1
Os03g0345500	3
Os03g0345700	-9
Os03g0345901	-19
Os03g0346150	12
Os03g0346200	40
Os03g0346500	-10
Os03g0346700	3
Os03g0346750	3
Os03g0346800	17
Os03g0346900	11
Os03g0347200	7
Os03g0347300	8
Os03g0347400	3
Os03g0347500	0
Os03g0347700	-13
Os03g0347750	-2
Os03g0347800	7
Os03g0347900	-3
Os03g0348200	19
Os03g0348500	5
Os03g0348800	1
Os03g0348900	13
Os03g0349000	6
Os03g0349200	7
Os03g0349400	1
Os03g0349600	1
Os03g0349700	4
Os03g0350100	15
Os03g0350300	7
Os03g0351100	-3
Os03g0351200	-2
Os03g0351300	9
Os03g0351400	-3
Os03g0351500	0
Os03g0351700	-22
Os03g0351800	1
Os03g0352200	2
Os03g0352300	12
Os03g0352400	8
Os03g0352450	0
Os03g0352500	5
Os03g0352700	2
Os03g0352800	2
Os03g0353000	22
Os03g0353300	15
Os03g0353333	9
Os03g0353400	2
Os03g0353500	3
Os03g0353600	13
Os03g0353701	7
Os03g0353900	-4
Os03g0354500	12
Os03g0355100	-6
Os03g0355200	-1
Os03g0355300	1
Os03g0355500	1
Os03g0355600	1
Os03g0355700	-15
Os03g0355800	-1
Os03g0355900	-11
Os03g0356300	-1
Os03g0356400	-3
Os03g0356414	8
Os03g0356470	7
Os03g0356477	6
Os03g0356484	7
Os03g0356498	91
Os03g0356526	-2
Os03g0356540	3
Os03g0356582	4
Os03g0356596	3
Os03g0356638	9
Os03g0356652	6
Os03g0356700	2
Os03g0356801	3
Os03g0356900	3
Os03g0357200	-14
Os03g0357400	-1
Os03g0357500	4
Os03g0358000	9
Os03g0358100	5
Os03g0358200	12
Os03g0358700	6
Os03g0358800	-40
Os03g0358900	6
Os03g0358975	-3
Os03g0359000	6
Os03g0359100	4
Os03g0359350	27
Os03g0359600	-6
Os03g0359700	9
Os03g0360000	-1
