GENEID	HN-score(HN5)
Os01g0120700	10
Os01g0120800	9
Os01g0121000	-4
Os01g0121100	-5
Os01g0121200	-4
Os01g0121300	4
Os01g0121400	2
Os01g0121500	21
Os01g0121600	2
Os01g0121700	12
Os01g0121800	6
Os01g0121900	19
Os01g0121950	0
Os01g0122000	-16
Os01g0122200	-1
Os01g0122367	-1
Os01g0122534	-2
Os01g0122701	2
Os01g0123500	-5
Os01g0123700	21
Os01g0123800	17
Os01g0123900	22
Os01g0124000	88
Os01g0124100	43
Os01g0124200	26
Os01g0124401	68
Os01g0124550	1
Os01g0124600	9
Os01g0124650	17
Os01g0124700	2
Os01g0124900	5
Os01g0125000	5
Os01g0125500	2
Os01g0125550	9
Os01g0125600	-26
Os01g0125700	1
Os01g0125800	10
Os01g0125850	16
Os01g0125900	11
Os01g0126000	7
Os01g0126100	3
Os01g0126200	-24
Os01g0126401	1
Os01g0126600	13
Os01g0126900	-19
Os01g0127000	-1
Os01g0127100	3
Os01g0127200	5
Os01g0127300	5
Os01g0127400	4
Os01g0127450	-12
Os01g0127500	0
Os01g0127600	20
Os01g0127700	-2
Os01g0127900	5
Os01g0128000	-2
Os01g0128100	9
Os01g0128200	-9
Os01g0128250	12
Os01g0128300	-6
Os01g0128400	0
Os01g0128700	-7
Os01g0128800	-22
Os01g0129200	0
Os01g0129500	4
Os01g0129550	7
Os01g0129600	-3
Os01g0129800	-9
Os01g0130000	-5
Os01g0130100	-1
Os01g0130200	-32
Os01g0130400	2
Os01g0130500	4
Os01g0130900	4
Os01g0131250	0
Os01g0131300	7
Os01g0131450	-7
Os01g0131600	-1
Os01g0131800	1
Os01g0131900	10
Os01g0132000	14
Os01g0132050	-2
Os01g0132100	-5
Os01g0132200	-11
Os01g0132400	16
Os01g0132500	-2
Os01g0132700	-6
Os01g0132766	8
Os01g0132800	-1
Os01g0133100	6
Os01g0133200	-6
Os01g0133400	1
Os01g0133500	15
Os01g0133600	47
Os01g0133650	9
Os01g0133700	12
Os01g0133799	6
Os01g0133832	-13
Os01g0133866	-16
Os01g0133900	-25
Os01g0134200	8
Os01g0134500	-8
Os01g0134700	-9
Os01g0134800	9
Os01g0134850	3
Os01g0134900	-4
Os01g0135000	-6
Os01g0135600	3
Os01g0135700	31
Os01g0135800	215
Os01g0135900	0
Os01g0136000	233
Os01g0136050	222
Os01g0136100	246
Os01g0136200	229
Os01g0136300	-40
Os01g0136400	-2
Os01g0136450	-4
Os01g0136500	-14
Os01g0136502	13
Os01g0136600	-4
Os01g0136700	-15
Os01g0136800	-3
Os01g0136850	-1
Os01g0136900	-1
Os01g0137066	0
Os01g0137125	0
Os01g0137150	-10
Os01g0137200	-7
Os01g0137232	8
Os01g0137250	-10
