GENEID	HN5
Os01g0382400	-71
Os08g0167800	-71
Os12g0555200	-71
Os07g0179300	-72
Os10g0475000	-73
Os09g0246300	-74
Os03g0341000	-75
Os06g0129900	-75
Os01g0613500	-75
Os01g0318400	-76
Os07g0664000	-76
Os03g0667300	-76
Os03g0117050	-76
Os12g0601800	-77
Os06g0688200	-77
Os06g0721800	-77
Os04g0231200	-79
Os01g0689451	-80
Os12g0598000	-80
Os03g0439700	-80
Os04g0641101	-80
Os12g0236100	-81
Os11g0241700	-82
Os04g0119000	-82
Os07g0429700	-82
Os03g0404800	-82
Os01g0208400	-83
Os01g0944700	-83
Os06g0278150	-84
Os02g0504000	-84
Os09g0518200	-84
Os11g0687200	-85
Os07g0622700	-86
Os04g0405500	-87
Os02g0306401	-87
Os12g0132500	-89
Os06g0718400	-89
Os12g0236200	-91
Os04g0316701	-94
Os07g0174900	-94
Os09g0424300	-95
Os06g0278000	-95
Os05g0592300	-96
Os02g0594300	-98
Os06g0295000	-98
Os07g0604700	-99
Os03g0431800	-101
Os09g0551600	-102
Os03g0736900	-102
Os03g0751100	-103
Os06g0694400	-104
Os05g0551000	-104
Os07g0258501	-106
Os05g0349800	-108
Os10g0578800	-109
Os01g0871500	-110
Os01g0655500	-111
Os03g0379300	-112
Os11g0151500	-113
Os03g0322900	-113
Os01g0608000	-115
Os10g0195250	-116
Os02g0579000	-118
Os01g0444100	-118
Os11g0154900	-122
Os10g0475100	-122
Os04g0381700	-127
Os02g0649900	-127
Os12g0236225	-130
Os11g0262600	-130
Os02g0594232	-134
Os09g0129800	-134
Os11g0134900	-135
Os01g0800900	-136
Os04g0282400	-136
Os01g0871600	-137
Os09g0129600	-140
Os04g0578600	-147
Os03g0725200	-149
Os06g0294950	-149
Os02g0650300	-151
Os12g0282000	-152
Os03g0431600	-160
Os03g0293700	-160
Os01g0495701	-163
Os01g0647200	-165
Os07g0258400	-166
Os02g0594166	-170
Os01g0608101	-171
Os01g0952800	-173
Os07g0142100	-178
Os03g0307200	-182
Os07g0142200	-189
Os03g0307300	-196
