GENEID	HN5
Os01g0180800	46
Os07g0595100	46
Os01g0832600	46
Os01g0822800	46
Os02g0513100	46
Os02g0764700	46
Os07g0604300	46
Os02g0783625	45
Os12g0548501	45
Os08g0163300	45
Os02g0286933	45
Os01g0257300	45
Os06g0651200	45
Os07g0418700	45
Os02g0669100	45
Os02g0710900	45
Os04g0197350	45
Os04g0418800	45
Os01g0771200	45
Os04g0473025	45
Os06g0726600	45
Os08g0112300	44
Os02g0527300	44
Os04g0465300	44
Os09g0445600	44
Os06g0147275	44
Os09g0431900	44
Os02g0139100	44
Os03g0254200	44
Os06g0134900	44
Os07g0246200	44
Os02g0580500	44
Os10g0532300	44
Os02g0782300	44
Os05g0562300	44
Os07g0625600	44
Os04g0381600	43
Os07g0638300	43
Os07g0644100	43
Os08g0434201	43
Os02g0740600	43
Os01g0524700	43
Os04g0673700	43
Os05g0588700	43
Os03g0277600	43
Os07g0659600	43
Os08g0152000	43
Os07g0641700	43
Os11g0106700	43
Os05g0595100	43
Os07g0123200	43
Os01g0124100	43
Os05g0151200	43
Os04g0639000	42
Os08g0544400	42
Os11g0506700	42
Os03g0289800	42
Os12g0418600	42
Os10g0328600	42
Os03g0820400	42
Os07g0621600	42
Os08g0374600	42
Os08g0374701	42
Os01g0699600	42
Os01g0183300	42
Os05g0373900	42
Os04g0301500	42
Os05g0367000	42
Os01g0971800	42
Os03g0254250	42
