GeneName,up5,dn5,unchange5,all,HN5
Hspa1b,152,3,87,242,149
Hspa1a,140,3,99,242,137
Hspb1,112,1,129,242,111
Gm20481,95,7,140,242,88
Atf3,81,3,158,242,78
Dnajb1,71,0,171,242,71
Hsph1,66,2,174,242,64
Bag3,53,2,187,242,51
Fos,59,8,175,242,51
Edn1,46,1,195,242,45
Egr1,51,7,184,242,44
Phlda1,43,1,198,242,42
Ccnb1ip1,57,19,166,242,38
Hsp90aa1,39,2,201,242,37
Hspb8,39,3,200,242,36
Kcnk4,40,5,197,242,35
Best2,35,0,207,242,35
Dnaja4,40,5,197,242,35
Fgf21,37,4,201,242,33
Xirp1,39,6,197,242,33
Gm44505,43,11,188,242,32
Hspa1l,39,7,196,242,32
Gml,37,7,198,242,30
Ccn1,34,4,204,242,30
Chac1,37,7,198,242,30
Phlda2,32,3,207,242,29
Myo1g,36,7,199,242,29
Tex52,32,3,207,242,29
Jun,33,5,204,242,28
Egr2,39,11,192,242,28
Mc4r,27,0,215,242,27
Clu,31,4,207,242,27
Acta1,33,6,203,242,27
Pspn,40,13,189,242,27
Dnaja1,29,3,210,242,26
Gm21738,46,20,176,242,26
Ddit4,28,2,212,242,26
Serpinf2,28,2,212,242,26
Ly6g6c,38,12,192,242,26
H1f8,29,4,209,242,25
Lrrc26,27,3,212,242,24
Pmaip1,28,4,210,242,24
Gml2,27,3,212,242,24
Gm38100,24,0,218,242,24
Prtn3,30,6,206,242,24
Arc,34,11,197,242,23
Gm14406,40,17,185,242,23
Lrg1,28,5,209,242,23
Gm49356,53,30,159,242,23
Lbx2,26,4,212,242,22
Gm11563,27,5,210,242,22
Mt2,28,6,208,242,22
Dedd2,24,2,216,242,22
Il1r2,32,10,200,242,22
Cebpb,22,0,220,242,22
Cdkn1a,23,1,218,242,22
Serpina3n,22,0,220,242,22
Hspe1,22,0,220,242,22
Wfdc18,34,12,196,242,22
Ly6k,24,2,216,242,22
Gdf15,28,6,208,242,22
Ifitm5,36,14,192,242,22
Gm16253,31,9,202,242,22
Krtap4-16,21,0,221,242,21
Tnfrsf23,26,5,211,242,21
Lman1l,24,3,215,242,21
Cyp2e1,27,6,209,242,21
Fam71d,32,11,199,242,21
Nfil3,23,2,217,242,21
Spp1,26,5,211,242,21
Iqcf1,31,10,201,242,21
Pla2g4c,23,2,217,242,21
Defb42,26,5,211,242,21
Krtap1-5,25,5,212,242,20
S100a9,29,9,204,242,20
Ifitm10,24,4,214,242,20
Dnajb4,24,4,214,242,20
Cys1,23,3,216,242,20
Rsrp1,22,2,218,242,20
Trib3,23,3,216,242,20
Ahsa2,22,2,218,242,20
Serpinh1,22,3,217,242,19
Cldn11,23,4,215,242,19
Arl9,39,20,183,242,19
Mt1,23,4,215,242,19
Maff,22,3,217,242,19
Krt6a,23,4,215,242,19
Ccl11,22,3,217,242,19
Defa24,21,2,219,242,19
Ism2,19,0,223,242,19
Nr4a3,24,5,213,242,19
Crybb3,24,5,213,242,19
Cldn4,25,6,211,242,19
Snap25,19,1,222,242,18
Mansc1,22,4,216,242,18
Oxt,35,17,190,242,18
Ubc,18,0,224,242,18
Gpr75,18,0,224,242,18
Lgals7,29,11,202,242,18
Rhox8,31,13,198,242,18
Cd79a,22,4,216,242,18
S100a3,29,11,202,242,18
Rrad,25,7,210,242,18
Ccer2,23,5,214,242,18
Kcnj14,22,4,216,242,18
Mndal,25,7,210,242,18
Adora2a,20,3,219,242,17
Saa1,29,12,201,242,17
P2rx7,21,4,217,242,17
Fgf17,20,3,219,242,17
Junb,22,5,215,242,17
Muc13,18,1,223,242,17
Ighg2b,20,3,219,242,17
Cryab,19,2,221,242,17
Socs3,23,6,213,242,17
Arl5c,22,5,215,242,17
Lcn2,25,8,209,242,17
Gm21976,22,5,215,242,17
Mzb1,40,23,179,242,17
Cyp2d40,18,1,223,242,17
Il10,21,4,217,242,17
Gm6169,31,14,197,242,17
Banp,18,2,222,242,16
Gm45234,36,20,186,242,16
Cplx3,23,7,212,242,16
Mpo,22,6,214,242,16
Gadd45g,20,4,218,242,16
Mpzl2,18,2,222,242,16
Tex43,30,14,198,242,16
Avp,25,9,208,242,16
Rbmy,18,2,222,242,16
Tmem252,16,0,226,242,16
Ptcra,23,7,212,242,16
Igfbp3,16,0,226,242,16
Pin1rt1,30,14,198,242,16
H4c18,30,14,198,242,16
Slc5a5,18,2,222,242,16
Trpc2,20,4,218,242,16
Elf3,19,3,220,242,16
Hsd17b1,20,4,218,242,16
Hrk,17,1,224,242,16
Gm38999,22,6,214,242,16
Ly6g6d,22,6,214,242,16
Gm5741,40,24,178,242,16
AF366264,21,5,216,242,16
H3c8,33,17,192,242,16
Myocos,22,6,214,242,16
Best3,18,2,222,242,16
Spry4,19,3,220,242,16
Actc1,21,5,216,242,16
Asns,18,2,222,242,16
Apoc3,24,9,209,242,15
Fermt3,21,6,215,242,15
Btg2,19,4,219,242,15
Apoc1,26,11,205,242,15
Gm10720,22,7,213,242,15
Bglap,36,21,185,242,15
Gm3376,17,2,223,242,15
Nme5,24,9,209,242,15
Cabp5,17,2,223,242,15
Ighg2c,21,6,215,242,15
Gm10800,37,22,183,242,15
Gm10801,39,24,179,242,15
Ifi205,24,9,209,242,15
P4ha1,19,4,219,242,15
Gm28035,22,7,213,242,15
Hmgcs2,20,5,217,242,15
Ccdc194,20,5,217,242,15
Fthl17c,17,2,223,242,15
Crygs,20,5,217,242,15
Xlr5b,21,6,215,242,15
Psca,26,11,205,242,15
Cldn7,24,9,209,242,15
Nmu,21,6,215,242,15
Retn,29,14,199,242,15
Iqcn,15,0,227,242,15
Hmox1,15,1,226,242,14
Id1,20,6,216,242,14
Hspe1-rs1,41,27,174,242,14
Havcr1,16,2,224,242,14
Parvg,21,7,214,242,14
A3galt2,18,4,220,242,14
Hhatl,23,9,210,242,14
Tnfrsf12a,19,5,218,242,14
Defb19,21,7,214,242,14
Nr0b2,17,3,222,242,14
Fut1,19,5,218,242,14
Gal,16,2,224,242,14
Nat8f7,23,9,210,242,14
Ramp3,20,6,216,242,14
Vpreb1,30,16,196,242,14
Spon2,17,3,222,242,14
1700007K13Rik,25,11,206,242,14
Krtap3-2,15,1,226,242,14
Noxred1,22,8,212,242,14
Cldn19,24,10,208,242,14
Cldn6,18,4,220,242,14
Rnf224,17,3,222,242,14
Snapc1l,32,18,192,242,14
Klf6,15,1,226,242,14
Rasl11a,21,7,214,242,14
Acnat1,17,3,222,242,14
Ugt1a10,20,6,216,242,14
H2-Bl,25,11,206,242,14
Gm10718,36,22,184,242,14
Susd3,15,1,226,242,14
Iqca1l,18,4,220,242,14
Serpina3i,20,6,216,242,14
Igkv8-28,16,2,224,242,14
Obp2a,16,2,224,242,14
Cfd,24,10,208,242,14
Myc,16,3,223,242,13
Trim72,15,2,225,242,13
Rnf223,13,0,229,242,13
Cldn15,16,3,223,242,13
Retnlg,22,9,211,242,13
Msantd1,19,6,217,242,13
Trib2,17,4,221,242,13
Bst2,17,4,221,242,13
Mt4,21,8,213,242,13
Tceal5,22,9,211,242,13
Gm11032,34,21,187,242,13
Fosb,21,8,213,242,13
Apoa1,21,8,213,242,13
Hba-a2,28,15,199,242,13
Igha,18,5,219,242,13
Igfbp7,16,3,223,242,13
Dusp8,19,6,217,242,13
Acbd7,24,11,207,242,13
Gabrr2,17,4,221,242,13
Klrb1b,14,1,227,242,13
Tnfsf9,18,5,219,242,13
Adig,30,17,195,242,13
Krt20,13,0,229,242,13
Fpr2,26,13,203,242,13
Hspa4l,16,3,223,242,13
A730049H05Rik,18,5,219,242,13
Col6a3,15,2,225,242,13
Fgf8,16,3,223,242,13
Defa3,17,4,221,242,13
Mroh6,13,0,229,242,13
Sphk1,22,9,211,242,13
Ccl21a,15,2,225,242,13
Cd3e,14,1,227,242,13
Ccr5,27,14,201,242,13
Gpnmb,19,6,217,242,13
Ctrb1,21,8,213,242,13
Potegl,14,1,227,242,13
Gm28053,26,13,203,242,13
Cysrt1,27,14,201,242,13
Gsta2,19,6,217,242,13
H3c2,34,21,187,242,13
Ctsk,22,9,211,242,13
Gm3285,13,0,229,242,13
Pla2g12b,16,3,223,242,13
Tdgf1,16,4,222,242,12
Wfdc10,17,5,220,242,12
Olfr1033,22,10,210,242,12
Sytl1,14,2,226,242,12
Prrg4,21,9,212,242,12
Rragd,14,2,226,242,12
Gcg,17,5,220,242,12
Tmem200b,18,6,218,242,12
Idi2,14,2,226,242,12
Prm1,28,16,198,242,12
Ren1,17,5,220,242,12
Aqp5,24,12,206,242,12
Hpn,12,0,230,242,12
Apol9a,24,12,206,242,12
Pdk4,15,3,224,242,12
Orm1,22,10,210,242,12
Hpd,17,5,220,242,12
Olfr1039,20,8,214,242,12
Maob,14,2,226,242,12
Mmp23,17,5,220,242,12
Gjc2,12,0,230,242,12
Rplp2-ps1,24,12,206,242,12
Lyst,27,15,200,242,12
Lypd1,14,2,226,242,12
Gm21854,17,5,220,242,12
Gm21778,21,9,212,242,12
Serping1,13,1,228,242,12
Gstp3,21,9,212,242,12
Slc38a3,16,4,222,242,12
Hsd17b6,13,1,228,242,12
Rpl36a-ps1,39,27,176,242,12
Hsd11b2,20,8,214,242,12
Espn,14,2,226,242,12
Amhr2,17,5,220,242,12
Selplg,22,10,210,242,12
Islr2,14,2,226,242,12
Timp1,20,8,214,242,12
Adm2,14,2,226,242,12
Alpk2,17,5,220,242,12
Gm17728,26,14,202,242,12
Evpl,14,2,226,242,12
Hhipl2,19,7,216,242,12
Klhl40,15,3,224,242,12
Cck,20,8,214,242,12
Gm11213,14,2,226,242,12
Fibcd1,13,1,228,242,12
Cxcr4,21,9,212,242,12
Gm9999,23,11,208,242,12
Fthl17d,13,1,228,242,12
H2ac10,39,27,176,242,12
Ccl8,32,20,190,242,12
H2ac15,35,23,184,242,12
Cuzd1,13,1,228,242,12
4930486L24Rik,32,20,190,242,12
Tsc22d3,19,7,216,242,12
Slc6a8,13,1,228,242,12
Igflr1,41,29,172,242,12
Mrgprh,12,0,230,242,12
Adam30,18,6,218,242,12
Cd83,14,2,226,242,12
Hspd1,15,3,224,242,12
Ighv1-55,16,4,222,242,12
Scx,20,8,214,242,12
Card9,16,4,222,242,12
Vsig4,15,3,224,242,12
Cx3cl1,15,3,224,242,12
Gadd45a,13,1,228,242,12
Zfand2a,15,3,224,242,12
Angptl4,17,5,220,242,12
Zbtb16,15,3,224,242,12
Ch25h,19,7,216,242,12
Fgf18,20,8,214,242,12
Cd79b,17,5,220,242,12
Guca1b,15,4,223,242,11
Tmigd1,14,3,225,242,11
Gm21693,12,1,229,242,11
Creb5,13,2,227,242,11
Cyp2c55,17,6,219,242,11
Sbk3,14,3,225,242,11
Ephx3,14,3,225,242,11
Igkv2-109,13,2,227,242,11
Fam71a,15,4,223,242,11
Olfr286,12,1,229,242,11
Trav6d-6,13,2,227,242,11
Dlk1,14,3,225,242,11
Gm10563,34,23,185,242,11
Unc93a,13,2,227,242,11
Hbb-bs,15,4,223,242,11
Rpl9-ps6,26,15,201,242,11
Sfn,15,4,223,242,11
Gadd45b,14,3,225,242,11
Trbv14,13,2,227,242,11
Ppargc1a,11,0,231,242,11
Ptprn,14,3,225,242,11
Kitl,15,4,223,242,11
Klhdc7b,14,3,225,242,11
Fxyd4,21,10,211,242,11
Slc5a3,15,4,223,242,11
Gpr132,22,11,209,242,11
Klrd1,28,17,197,242,11
Edn2,13,2,227,242,11
Scgb1c1,30,19,193,242,11
Slfn1,14,3,225,242,11
Nkx2-5,12,1,229,242,11
Chrna4,16,5,221,242,11
Lrit3,11,0,231,242,11
Sectm1b,18,7,217,242,11
Areg,17,6,219,242,11
Tktl1,14,3,225,242,11
Olfr1369-ps1,14,3,225,242,11
Tceal6,11,0,231,242,11
Ppp1r15a,14,3,225,242,11
Apoa4,12,1,229,242,11
Ltc4s,26,15,201,242,11
Gm8251,15,4,223,242,11
Pipox,14,3,225,242,11
Slc45a1,11,0,231,242,11
Ltb4r1,14,3,225,242,11
Pip5kl1,18,7,217,242,11
Rasgef1b,11,0,231,242,11
Rrh,16,5,221,242,11
Itgb8,14,3,225,242,11
Pde6g,18,7,217,242,11
Tepp,21,10,211,242,11
Sycn,15,4,223,242,11
Laptm5,13,2,227,242,11
Hspa8,15,4,223,242,11
Msgn1,12,1,229,242,11
Gm13398,12,1,229,242,11
Gm49339,14,3,225,242,11
Slc10a5,11,0,231,242,11
Olfr907,16,5,221,242,11
Akr1b7,19,8,215,242,11
Slc10a6,13,2,227,242,11
Tnfrsf25,17,6,219,242,11
Gm17349,34,23,185,242,11
Mmp12,17,6,219,242,11
Etv2,16,5,221,242,11
Stip1,15,4,223,242,11
Ugt1a1,13,2,227,242,11
Pramel42,11,0,231,242,11
Themis,19,8,215,242,11
C1ql2,12,1,229,242,11
Fam180a,20,9,213,242,11
Slc23a3,17,6,219,242,11
4930444G20Rik,21,10,211,242,11
Tnfsf18,13,2,227,242,11
Hoxd10,11,0,231,242,11
Trim43b,18,7,217,242,11
H4c12,28,18,196,242,10
Cox8a,13,3,226,242,10
Alx3,13,3,226,242,10
Mmp3,13,3,226,242,10
Cmtm8,14,4,224,242,10
Rasgrp2,18,8,216,242,10
Tex29,23,13,206,242,10
Pawr,12,2,228,242,10
Serpina6,11,1,230,242,10
Gm49325,27,17,198,242,10
Ckmt1,12,2,228,242,10
Smim5,22,12,208,242,10
Mmp13,14,4,224,242,10
Pbld1,19,9,214,242,10
Olfr1419,15,5,222,242,10
Ghrh,26,16,200,242,10
Abhd3,12,2,228,242,10
Wnt1,15,5,222,242,10
Sparcl1,10,0,232,242,10
Cplx1,15,5,222,242,10
Slc39a4,12,2,228,242,10
Tnnt1,21,11,210,242,10
Lyl1,22,12,208,242,10
Gstt4,15,5,222,242,10
Prxl2b,10,0,232,242,10
Gm21961,30,20,192,242,10
Cpn1,14,4,224,242,10
Olfr847,16,6,220,242,10
Serpine1,16,6,220,242,10
Serpine2,14,4,224,242,10
Il33,15,5,222,242,10
Trac,30,20,192,242,10
Fcgr1,20,10,212,242,10
Krt19,12,2,228,242,10
Gm20683,15,5,222,242,10
Gpr3,21,11,210,242,10
Asgr1,16,6,220,242,10
Ftl1-ps1,19,9,214,242,10
Hey1,10,0,232,242,10
Flg,12,2,228,242,10
Cdcp2,10,0,232,242,10
Lepr,22,12,208,242,10
Fgl1,15,5,222,242,10
Tmc4,14,4,224,242,10
Rab44,13,3,226,242,10
Notch3,10,0,232,242,10
Slfn5,16,6,220,242,10
Nog,18,8,216,242,10
Cyp4a14,10,0,232,242,10
Gnat1,31,21,190,242,10
Nrn1l,26,16,200,242,10
Rhox2d,14,4,224,242,10
Serpina10,11,1,230,242,10
Nupr1,15,5,222,242,10
Ttc36,25,15,202,242,10
Fcgr2b,18,8,216,242,10
Cox6b2,19,9,214,242,10
Prickle1,13,3,226,242,10
Cox6a2,26,16,200,242,10
Hoxb7,13,3,226,242,10
Zfp948,11,1,230,242,10
Hamp,37,27,178,242,10
Rgs1,12,2,228,242,10
F2rl2,15,5,222,242,10
Uspl1,11,1,230,242,10
Ezhip,10,0,232,242,10
Gabra3,10,0,232,242,10
Tafa1,12,2,228,242,10
Ptpn5,11,1,230,242,10
Akr1c18,15,5,222,242,10
Magea6,11,1,230,242,10
Csn3,21,11,210,242,10
Gm11634,22,12,208,242,10
Gm49368,28,18,196,242,10
Gm49416,36,26,180,242,10
Glod5,15,5,222,242,10
Bcl6,11,1,230,242,10
Igkv4-74,13,3,226,242,10
1700001K19Rik,20,10,212,242,10
Prss22,14,4,224,242,10
Olfr71,19,9,214,242,10
Gm13090,12,2,228,242,10
Prr18,15,5,222,242,10
Ier2,14,4,224,242,10
Ccnb3,10,0,232,242,10
Marveld2,14,4,224,242,10
Igkv16-104,15,5,222,242,10
Igkv12-38,13,3,226,242,10
Rorc,11,1,230,242,10
Olfr655,16,6,220,242,10
Tent5a,11,1,230,242,10
Trim12a,19,9,214,242,10
Plat,12,2,228,242,10
Cpxm2,11,1,230,242,10
Cebpd,10,0,232,242,10
H2ac22,30,20,192,242,10
Gm10721,29,19,194,242,10
Fam209,31,21,190,242,10
A930017K11Rik,13,3,226,242,10
Proser2,13,3,226,242,10
Gm49388,34,24,184,242,10
Swt1,12,2,228,242,10
Zfp990,16,7,219,242,9
Kcne1l,10,1,231,242,9
Ppp1r3c,12,3,227,242,9
Gal3st2,17,8,217,242,9
Gm21677,9,0,233,242,9
Ptpn22,13,4,225,242,9
Spib,12,3,227,242,9
A630073D07Rik,10,1,231,242,9
Rhox7a,19,10,213,242,9
Nscme3l,21,12,209,242,9
Scn5a,10,1,231,242,9
Sct,18,9,215,242,9
Gprc5a,13,4,225,242,9
Ighv1-72,11,2,229,242,9
2510002D24Rik,12,3,227,242,9
Defb29,12,3,227,242,9
Sdsl,11,2,229,242,9
Uroc1,11,2,229,242,9
Defb25,21,12,209,242,9
Gm28374,26,17,199,242,9
E330021D16Rik,16,7,219,242,9
Defb23,10,1,231,242,9
Mgl2,17,8,217,242,9
Lrcol1,17,8,217,242,9
Elovl5,13,4,225,242,9
Mdfi,14,5,223,242,9
Fga,12,3,227,242,9
Trbv13-3,12,3,227,242,9
Kctd18,13,4,225,242,9
Tmem35a,9,0,233,242,9
Fut7,13,4,225,242,9
Elavl3,12,3,227,242,9
Gm10985,34,25,183,242,9
Rnd3,17,8,217,242,9
Asb11,16,7,219,242,9
Ubash3a,14,5,223,242,9
Krt5,11,2,229,242,9
1700102P08Rik,18,9,215,242,9
Gm21060,23,14,205,242,9
Chst11,11,2,229,242,9
Foxq1,9,0,233,242,9
Sat1,10,1,231,242,9
Fmod,13,4,225,242,9
Adamts1,13,4,225,242,9
Lad1,9,0,233,242,9
Ehf,12,3,227,242,9
Fosl2,15,6,221,242,9
Sbsn,16,7,219,242,9
C2,17,8,217,242,9
C3,12,3,227,242,9
Tnfrsf13c,13,4,225,242,9
Mrln,33,24,185,242,9
Sprr2a2,18,9,215,242,9
Fst,11,2,229,242,9
Mgarp,15,6,221,242,9
Crybb2,12,3,227,242,9
Trav13d-3,19,10,213,242,9
Tmem141,10,1,231,242,9
Mep1a,11,2,229,242,9
Pigz,23,14,205,242,9
Galp,15,6,221,242,9
Spry1,10,1,231,242,9
Neu2,14,5,223,242,9
Hba-a1,22,13,207,242,9
H2-T23,15,6,221,242,9
Tat,11,2,229,242,9
Bhlhe41,12,3,227,242,9
Slc18a1,18,9,215,242,9
Cyp2j9,11,2,229,242,9
Clec5a,15,6,221,242,9
Defa39,12,3,227,242,9
Hesx1,9,0,233,242,9
Eda2r,12,3,227,242,9
Nptx1,9,0,233,242,9
Tac2,18,9,215,242,9
Lrrc2,14,5,223,242,9
Hormad2,13,4,225,242,9
Grp,11,2,229,242,9
Cd53,13,4,225,242,9
ccdc198,11,2,229,242,9
Ly6g5c,22,13,207,242,9
Gstm3,11,2,229,242,9
Fam163a,14,5,223,242,9
H2bw2,11,2,229,242,9
Renbp,12,3,227,242,9
Cyp21a1,10,1,231,242,9
Gem,14,5,223,242,9
Derpc,47,38,157,242,9
Mylk2,12,3,227,242,9
Igkv10-94,12,3,227,242,9
Fam83b,10,1,231,242,9
Xlr3c,19,10,213,242,9
Mmp10,12,3,227,242,9
AB124611,14,5,223,242,9
Gm4064,11,2,229,242,9
Il6,23,14,205,242,9
Dpp7,10,1,231,242,9
Tulp1,15,6,221,242,9
Icam1,11,2,229,242,9
Synb,12,3,227,242,9
Wap,21,12,209,242,9
Prss39,10,1,231,242,9
Sim1,10,1,231,242,9
Olfr1391,10,1,231,242,9
Pla2g2e,21,12,209,242,9
Tex19.1,10,1,231,242,9
Syce3,23,14,205,242,9
Baat,12,3,227,242,9
Sfrp5,12,3,227,242,9
Hpx,15,6,221,242,9
Soat2,13,4,225,242,9
Slc30a2,13,4,225,242,9
Bsx,10,1,231,242,9
Jchain,12,3,227,242,9
Emb,10,1,231,242,9
Orm2,21,12,209,242,9
Alpl,12,3,227,242,9
Trim2,13,4,225,242,9
Prg2,16,7,219,242,9
Gast,29,20,193,242,9
Plekhg1,9,0,233,242,9
Dusp1,16,7,219,242,9
Robo4,14,5,223,242,9
Hoxb8,11,2,229,242,9
F3,13,4,225,242,9
Hoxb4,14,5,223,242,9
Thegl,15,6,221,242,9
Jdp2,13,4,225,242,9
Rasgef1c,11,2,229,242,9
Ms4a4a,13,4,225,242,9
Pla2g4b,22,14,206,242,8
Lilr4b,11,3,228,242,8
Ngef,9,1,232,242,8
Fbp2,8,0,234,242,8
Fcrl1,10,2,230,242,8
Tcim,12,4,226,242,8
Eif1ad12,14,6,222,242,8
Magea2,12,4,226,242,8
Myod1,8,0,234,242,8
Rnf125,11,3,228,242,8
Rsad2,12,4,226,242,8
Ccdc68,10,2,230,242,8
Gm49392,23,15,204,242,8
Mtnr1a,10,2,230,242,8
Misp,10,2,230,242,8
Cxcl2,16,8,218,242,8
Myoz2,12,4,226,242,8
Majin,10,2,230,242,8
Ccbe1,10,2,230,242,8
Tcf23,8,0,234,242,8
Lce1f,13,5,224,242,8
Sox8,16,8,218,242,8
Gm49354,31,23,188,242,8
Ret,9,1,232,242,8
Ankrd1,14,6,222,242,8
Zp1,19,11,212,242,8
Tfpi2,12,4,226,242,8
Lat2,17,9,216,242,8
Cyp2s1,12,4,226,242,8
Aldh3b2,11,3,228,242,8
Mup6,17,9,216,242,8
Amotl2,11,3,228,242,8
Zmynd8,14,6,222,242,8
Pnldc1,19,11,212,242,8
Adra2a,10,2,230,242,8
Spats2l,11,3,228,242,8
Ly6a,19,11,212,242,8
Trip6,11,3,228,242,8
Gm7592,12,4,226,242,8
Mapk13,10,2,230,242,8
Rhox2a,18,10,214,242,8
Smim41,12,4,226,242,8
Pnmt,11,3,228,242,8
Cxcl1,31,23,188,242,8
Rhox2c,16,8,218,242,8
Rhox2e,12,4,226,242,8
Fabp9,12,4,226,242,8
Arhgap27,10,2,230,242,8
Evi2b,25,17,200,242,8
Pnliprp1,10,2,230,242,8
Mfsd10,15,7,220,242,8
Cxcr2,17,9,216,242,8
Mmp25,8,0,234,242,8
Gm9745,13,5,224,242,8
Litaf,13,5,224,242,8
Aqp8,11,3,228,242,8
Trim10,11,3,228,242,8
Ccn2,13,5,224,242,8
Nbl1,11,3,228,242,8
Rhox1,8,0,234,242,8
Cidec,18,10,214,242,8
Cldn5,14,6,222,242,8
Adamtsl2,10,2,230,242,8
Aox1,11,3,228,242,8
Ncf1,11,3,228,242,8
Mia,26,18,198,242,8
Fkbp4,11,3,228,242,8
Gm49486,15,7,220,242,8
Gm5148,13,5,224,242,8
Myo15,9,1,232,242,8
Tfe3,11,3,228,242,8
Mboat7,11,3,228,242,8
Neurl2,15,7,220,242,8
Mvp,10,2,230,242,8
Kif28,9,1,232,242,8
Tubb4a,9,1,232,242,8
H4c2,21,13,208,242,8
Vegfc,12,4,226,242,8
Pcbd1,16,8,218,242,8
Auts2,8,0,234,242,8
Dsc2,9,1,232,242,8
Grn,9,1,232,242,8
Inhbb,11,3,228,242,8
Ildr2,11,3,228,242,8
Aldh1a3,16,8,218,242,8
Ifi204,12,4,226,242,8
Zfp36,15,7,220,242,8
H2bc24,26,18,198,242,8
H2bc15,38,30,174,242,8
Tmem33,9,1,232,242,8
Il27,12,4,226,242,8
Il22ra1,10,2,230,242,8
Tmem221,15,7,220,242,8
Tmem213,17,9,216,242,8
Slc25a34,9,1,232,242,8
Gm26938,31,23,188,242,8
Gpt2,11,3,228,242,8
Kcne1,14,6,222,242,8
Defb48,17,9,216,242,8
Stpg3,10,2,230,242,8
Galr2,12,4,226,242,8
Grb14,12,4,226,242,8
Habp2,10,2,230,242,8
Stra6,14,6,222,242,8
Cfap300,13,5,224,242,8
Itpk1,10,2,230,242,8
Hs6st1,10,2,230,242,8
Serpina1b,16,8,218,242,8
Olfr1,8,0,234,242,8
Serpina3f,13,5,224,242,8
H4c6,30,22,190,242,8
Gm11757,8,0,234,242,8
H2al1c,9,1,232,242,8
Cryba4,13,5,224,242,8
Il1a,12,4,226,242,8
Gm1140,15,7,220,242,8
Igfbp2,12,4,226,242,8
Ighv3-3,11,3,228,242,8
Gm10490,38,30,174,242,8
Gvin1,17,9,216,242,8
Gm10715,22,14,206,242,8
Cel,12,4,226,242,8
Prr29,12,4,226,242,8
A030014E15Rik,14,6,222,242,8
2610528A11Rik,21,13,208,242,8
Dlx2,14,6,222,242,8
A830018L16Rik,10,2,230,242,8
Ighe,8,0,234,242,8
A630095N17Rik,30,22,190,242,8
Bhmt,9,1,232,242,8
Slc26a5,9,1,232,242,8
Ighv9-4,11,3,228,242,8
Igkv1-135,14,6,222,242,8
Igkv6-20,16,8,218,242,8
Olfr1423,13,5,224,242,8
Sfrp4,12,4,226,242,8
Pck1,8,0,234,242,8
Tubb1,12,4,226,242,8
Glmp,10,2,230,242,8
Igkv6-32,20,12,210,242,8
Igkv4-71,10,2,230,242,8
Gm10142,8,0,234,242,8
Prom2,9,1,232,242,8
Igkv4-62,9,1,232,242,8
Ifrd1,12,4,226,242,8
Igkv3-4,13,5,224,242,8
Dcstamp,16,8,218,242,8
Diras1,8,0,234,242,8
Bst1,15,7,220,242,8
Cox7b2,16,8,218,242,8
Omt2a,11,3,228,242,8
Art5,13,5,224,242,8
Hkdc1,9,1,232,242,8
Tafa5,8,0,234,242,8
Cd1d1,13,5,224,242,8
Slc6a4,12,4,226,242,8
Krtap1-4,9,1,232,242,8
Spry2,14,6,222,242,8
Gpc3,11,3,228,242,8
Slc52a3,10,2,230,242,8
Foxr1,12,4,226,242,8
Ptprv,28,20,194,242,8
Slc15a2,8,0,234,242,8
Foxb1,9,1,232,242,8
Scgb1a1,24,16,202,242,8
Cspg5,9,1,232,242,8
Zcwpw2,14,6,222,242,8
Klk1b4,8,0,234,242,8
Krt18,9,1,232,242,8
Nr5a1,8,0,234,242,8
Krt1,10,2,230,242,8
Gm17416,9,1,232,242,8
Kncn,11,3,228,242,8
P4ha2,11,3,228,242,8
Foxc2,13,5,224,242,8
Fthl17f,8,0,234,242,8
Chchd10,12,4,226,242,8
Nlrp6,8,0,234,242,8
Atg4a,9,1,232,242,8
Hoxd13,12,4,226,242,8
Defa30,14,6,222,242,8
Gpr83,9,1,232,242,8
Cstdc2,18,10,214,242,8
Gm3250,8,0,234,242,8
Folr1,16,8,218,242,8
Golt1a,16,8,218,242,8
Ptpn7,13,5,224,242,8
Gp9,15,7,220,242,8
Osgin1,15,7,220,242,8
Hbb-bt,13,5,224,242,8
Nlrp3,9,1,232,242,8
Defb30,19,11,212,242,8
Lama3,9,1,232,242,8
Trbv12-1,8,0,234,242,8
Clec4e,14,7,221,242,7
Herpud1,10,3,229,242,7
Gm49373,17,10,215,242,7
Sult2a2,8,1,233,242,7
Clec4d,13,6,223,242,7
Gm11627,15,8,219,242,7
Wt1,11,4,227,242,7
Bglap3,13,6,223,242,7
Clec2h,17,10,215,242,7
Wfdc17,23,16,203,242,7
Tff1,13,6,223,242,7
Wdr95,13,6,223,242,7
Rnasek,11,4,227,242,7
C1qtnf4,8,1,233,242,7
Wfdc15b,13,6,223,242,7
Herc6,13,6,223,242,7
Mptx1,7,0,235,242,7
Gm2000,23,16,203,242,7
Rhoc,11,4,227,242,7
Slc22a1,10,3,229,242,7
Slc23a1,13,6,223,242,7
Slc26a3,8,1,233,242,7
Shisa4,13,6,223,242,7
Gm45837,27,20,195,242,7
H3c15,20,13,209,242,7
Uap1l1,9,2,231,242,7
Gm20772,8,1,233,242,7
H4c3,19,12,211,242,7
H4c4,10,3,229,242,7
F2,11,4,227,242,7
H60b,16,9,217,242,7
Haao,14,7,221,242,7
Gm21190,13,6,223,242,7
Vmn1r13,11,4,227,242,7
Gm15056,15,8,219,242,7
Hoxd1,7,0,235,242,7
Hoxd12,9,2,231,242,7
